"""Preliminär Huvudbok""";;;;;;;;
Samis Jackets AB;;;;;;;;
559489-5301;;;;;;;;
"""Utskriftsdatum"": den 6 January 2026 18:53:59";;;;;;;;
;;;;;;;;
"""Räkenskapsår:"" 2024-07-01 - 2025-12-31";;;;;;;;
"""Avser perioden"" 2024-07-01 - 2025-12-31";;;;;;;;
;;;;;;;;
;;;;;;;;
"""Konto""";"""Verifikation""";"""Datum""";"""Beskrivning""";"""Momskod""";"""Moms""";"""Debet""";"""Kredit""";"""Saldo"""
1220 Inventarier och verktyg;;;;;;;;
;A 782;2025-10-10;Shopify EUR inbetalning 86.12 EUR;;;990,38;;982,65
;A 785;2025-10-17;Shopify EUR inbetalning 418.35 EUR;;;4 811,03;;5 793,68
;A 787;2025-10-24;Shopify EUR inbetalning 154.12 EUR;;;1 772,38;;7 566,06
;A 794;2025-11-01;TikTok Ads EUR 23.45 EUR kurs 10.9513;;;;259,10;7 306,96
;A 795;2025-11-02;Hallon EUR 11.78 EUR kurs 10.9513;;;;129,88;7 177,08
;A 796;2025-11-06;Cashback EUR 0.15 EUR;;;1,73;;7 178,81
;A 797;2025-11-07;Shopify EUR inbetalning 371.75 EUR;;;4 275,13;;11 453,94
;A 798;2025-11-14;Shopify EUR inbetalning 86.37 EUR;;;993,32;;12 447,26
;A 799;2025-11-14;Shipit.se frakt EUR 91.08 EUR kurs 10.9795;;;;1 004,63;11 442,63
;A 800;2025-11-19;TikTok Ads EUR 178.32 EUR kurs 11.0027;;;;1 974,10;9 468,53
;A 801;2025-11-21;Shopify EUR inbetalning 1398.29 EUR;;;16 080,33;;25 548,86
;A 802;2025-11-23;St1 drivmedel EUR 37.82 EUR kurs 10.999;;;;415,94;25 132,92
;A 803;2025-11-25;Booking.com flight EUR 624.99 EUR kurs 1.15685;;;;7 220,46;17 912,46
;A 805;2025-11-27;Forex EUR 2.91 EUR kurs 10.9894;;;;32,13;17 880,33
;A 806;2025-11-27;Arlanda Walk Through EUR 32.00 EUR kurs 10.9989;;;;353,55;17 526,78
;A 807;2025-11-27;Jureskog mat EUR 52.65 EUR kurs 10.9975;;;;582,18;16 944,60
;A 808;2025-11-27;Take Away Mart EUR 4.46 EUR kurs 10.9952;;;;49,28;16 895,32
;A 809;2025-11-28;Beijing Airport mat EUR 0.98 EUR kurs 8.19996 CNY;;;;11,00;16 884,32
;A 810;2025-11-28;Shopify EUR inbetalning 2199.39 EUR;;;25 292,99;;42 177,31
;A 811;2025-11-28;EUR till SEK 3633.31 EUR kurs 10.9945;;;;40 174,82;2 002,49
;A 813;2025-12-03;Cashback EUR 0.47 EUR;;;5,41;;2 007,90
;A 815;2025-12-05;Shopify EUR inbetalning 573.75 EUR;;;6 598,13;;8 606,03
;A 816;2025-12-08;Shopify avgift EUR 106.61 EUR;;;;1 226,58;7 379,45
;A 817;2025-12-08;EUR till USD 465.94 EUR kurs 1.1651;;;;5 374,86;2 004,59
;A 821;2025-12-12;Shopify EUR inbetalning 58.31 EUR;;;670,55;;2 675,14
;A 824;2025-12-14;Shopify abonnemang EUR 36.00 EUR;;;;414,00;2 261,14
;A 825;2025-12-15;Shopify avgift EUR 2.88 EUR;;;;33,12;2 228,02
;A 826;2025-12-17;Shopify avgift EUR 19.43 EUR;;;;223,44;2 004,58
;A 836;2025-12-29;Shopify EUR inbetalning 86.77 EUR;;;997,85;;3 002,43
;A 837;2025-12-29;EUR till USD 86.47 EUR kurs 1.1762;;;;997,85;2 004,58
;;;"""Utgående saldo:""";;0,00;74 982,23;72 977,65;2 004,58
;;;;;;;;
1945 Wise SEK;;;;;;;;
;;;"""Ingående saldo perioden:""";;;;;0,00
;A 343;2024-07-01;Opening balance SEK;;;561,47;;561,47
;A 412;2024-10-25;Bank details order checkout;;;;520,00;41,47
;A 413;2024-10-25;Topped up balance;;;520,00;;561,47
;A 411;2024-12-09;Topped up balance;;;124 000,00;;124 561,47
;A 410;2024-12-10;Converted 124,000.00 SEK to 11,241.24 USD;;;;124 000,00;561,47
;A 408;2025-01-04;Converted 100.00 SEK to 8.69 EUR;;;;100,00;461,47
;A 409;2025-01-04;Topped up balance;;;100,00;;561,47
;A 406;2025-01-27;Sent money to Samis Jackets AB;;;;13 639,88;-13 078,41
;A 407;2025-01-27;Converted 1,000.00 GBP to 13,639.88 SEK;;;13 639,88;;561,47
;A 402;2025-02-11;Card transaction Kontanten;;;;1 300,00;-738,53
;A 403;2025-02-11;Converted 100.00 GBP to 1,345.85 SEK;;;1 345,85;;607,32
;A 404;2025-02-11;Sent money to Samis Jackets AB;;;;47 065,87;-46 458,55
;A 405;2025-02-11;Converted 3,500.00 GBP to 47,065.87 SEK;;;47 065,87;;607,32
;A 397;2025-02-12;Converted 551.46 EUR to 6,203.22 SEK;;;6 203,22;;6 810,54
;A 398;2025-02-12;Converted 1,801.68 GBP to 24,302.42 SEK;;;24 302,42;;31 112,96
;A 400;2025-02-12;Repayment of Director's Loan;;;;30 505,64;607,32
;A 401;2025-02-12;Card transaction Clas Ohlson;;;;45,85;561,47
;A 399;2025-03-11;Topped up balance;;;6 499,00;;7 060,47
;A 395;2025-03-12;Card transaction Shopify;;;;472,61;6 587,86
;A 396;2025-03-12;Card transaction Babylon Livs;;;;32,00;6 555,86
;A 391;2025-03-13;Card transaction Shopify;;;;103,62;6 452,24
;A 392;2025-03-13;Card transaction Normal;;;;281,00;6 171,24
;A 393;2025-03-13;Card transaction Shopify;;;;515,22;5 656,02
;A 394;2025-03-13;Card transaction Shopify;;;;515,07;5 140,95
;A 390;2025-03-14;Card transaction Normal;;;;20,00;5 120,95
;A 387;2025-03-15;Card transaction Ma Livs;;;;16,98;5 103,97
;A 388;2025-03-15;Card transaction Ma Livs;;;;26,96;5 077,01
;A 389;2025-03-15;Card transaction Lidl;;;;60,70;5 016,31
;A 386;2025-03-16;Card transaction OKQ8;;;;99,00;4 917,31
;A 380;2025-03-17;Card transaction In & Finn;;;;12,00;4 905,31
;A 381;2025-03-17;Card transaction Normal;;;;8,00;4 897,31
;A 382;2025-03-17;Card transaction ICA;;;;166,00;4 731,31
;A 383;2025-03-17;Card transaction Aran Food;;;;29,99;4 701,32
;A 384;2025-03-17;Card transaction Apple;;;;249,00;4 452,32
;A 385;2025-03-17;Card transaction Shopify;;;;1 436,59;3 015,73
;A 379;2025-03-22;Card transaction Aran Food;;;;686,75;2 328,98
;A 378;2025-03-23;Card transaction Ant Ifoto.ai;;;;100,87;2 228,11
;A 377;2025-03-24;Card transaction Google Play;;;;254,47;1 973,64
;A 376;2025-03-25;Card transaction Apple;;;;999,00;974,64
;A 375;2025-03-31;Card transaction Freightseeker;;;;127,50;847,14
;A 374;2025-04-01;Topped up balance;;;2 500,00;;3 347,14
;A 372;2025-04-02;Card transaction Freightseeker;;;;108,75;3 238,39
;A 373;2025-04-02;Card transaction OpenAI ChatGPT;;;;198,97;3 039,42
;A 370;2025-04-04;Card transaction Willys;;;;838,90;2 200,52
;A 371;2025-04-04;Card transaction Willys;;;;1 064,63;1 135,89
;A 369;2025-04-06;Card transaction Freightseeker;;;;90,00;1 045,89
;A 365;2025-04-07;Converted 2,000.00 SEK to 196.96 USD;;;;2 000,00;-954,11
;A 367;2025-04-07;Converted 484.42 SEK to 47.79 USD;;;;484,42;-1 438,53
;A 368;2025-04-07;Topped up balance;;;2 000,00;;561,47
;A 366;2025-04-10;Topped up balance;;;5 000,00;;5 561,47
;A 364;2025-04-13;Card transaction Willys;;;;856,23;4 705,24
;A 358;2025-04-14;Card transaction Dohop;;;;810,61;3 894,63
;A 359;2025-04-14;Card refund Dohop;;;802,37;;4 697,00
;A 360;2025-04-14;Card transaction Dohop;;;;802,37;3 894,63
;A 361;2025-04-14;Card transaction Willys;;;;199,90;3 694,73
;A 362;2025-04-14;Card refund St1;;;1 160,88;;4 855,61
;A 363;2025-04-14;Card transaction St1;;;;2 000,00;2 855,61
;A 357;2025-04-16;Card transaction Shopify;;;;1 425,18;1 430,43
;A 356;2025-04-17;Card transaction Norton;;;;191,00;1 239,43
;A 355;2025-04-23;Card transaction Ant Ifoto.ai;;;;95,69;1 143,74
;A 354;2025-04-28;Card transaction Freightseeker;;;;90,00;1 053,74
;A 352;2025-05-13;Converted 10,492.27 SEK to 811.05 GBP;;;;10 492,27;-9 438,53
;A 353;2025-05-13;Topped up balance;;;10 000,00;;561,47
;A 351;2025-05-19;Topped up balance;;;1 500,00;;2 061,47
;A 350;2025-05-20;Card transaction Shopify;;;;968,96;1 092,51
;A 349;2025-05-27;Card transaction 2co.com imobie;;;;475,85;616,66
;A 348;2025-06-09;Topped up balance;;;1 000,00;;1 616,66
;A 347;2025-06-15;Card transaction Shopify;;;;493,72;1 122,94
;A 344;2025-06-16;Converted 1,635.80 SEK to 172.13 USD;;;;1 635,80;-512,86
;A 345;2025-06-16;Converted 1,925.67 SEK to 175.00 EUR;;;;1 925,67;-2 438,53
;A 346;2025-06-16;Topped up balance;;;3 000,00;;561,47
;A 667;2025-08-01;Facebook advertising;;;;125,00;436,47
;A 689;2025-08-27;WISE account transfer;;;2 500,00;;2 936,47
;A 692;2025-08-28;TikTok advertising;;;;90,00;2 846,47
;A 693;2025-08-29;TikTok reversal credit;;;90,00;;2 936,47
;A 694;2025-08-29;Facebook advertising;;;;138,00;2 798,47
;A 695;2025-08-29;Facebook advertising;;;;21,09;2 777,38
;A 696;2025-08-29;Facebook advertising;;;;152,00;2 625,38
;A 697;2025-08-29;Facebook advertising;;;;14,55;2 610,83
;A 698;2025-08-30;Facebook advertising;;;;167,00;2 443,83
;A 699;2025-08-30;Facebook advertising;;;;49,33;2 394,50
;A 700;2025-08-31;Facebook advertising;;;;184,00;2 210,50
;A 701;2025-08-31;Facebook advertising;;;;45,23;2 165,27
;A 705;2025-09-01;TikTok advertising;;;;267,72;1 897,55
;A 708;2025-09-02;Facebook ad credit reversal;;;184,00;;2 081,55
;A 711;2025-09-03;Temu business supplies;;;;281,19;1 800,36
;A 712;2025-09-03;Facebook advertising;;;;65,77;1 734,59
;A 713;2025-09-04;WISE account transfer;;;5 000,00;;6 734,59
;A 715;2025-09-04;Facebook advertising;;;;202,00;6 532,59
;A 716;2025-09-04;Facebook advertising;;;;184,00;6 348,59
;A 717;2025-09-04;Facebook advertising;;;;221,00;6 127,59
;A 718;2025-09-04;Facebook advertising;;;;18,73;6 108,86
;A 719;2025-09-04;Facebook advertising;;;;241,00;5 867,86
;A 730;2025-09-22;WISE account transfer;;;12 000,00;;17 867,86
;A 756;2025-09-22;SEK to USD conversion - Wise platform;;;;9 602,44;8 265,42
;A 775;2025-10-02;Hallon SEK 100.00 SEK;;;;100,00;8 165,42
;A 778;2025-10-06;Wise avgift SEK 26.20 SEK;;;;26,20;8 139,22
;A 779;2025-10-06;SEK till TRY 12486 SEK kurs 4.43116;;;;12 486,00;-4 346,78
;A 844;2025-10-06;Overforing till Wise;;;10 486,00;;6 139,22
;A 968;2025-10-06;Wise Enterprise transfer;;;2 026,20;;8 165,42
;A 849;2025-10-09;Overforing till Wise;;;4 500,00;;12 665,42
;A 783;2025-10-10;SEK till USD 2870 SEK kurs 0.105;;;;2 870,00;9 795,42
;A 786;2025-10-17;Temu forpackning SEK 548.87 SEK;;;;548,87;9 246,55
;A 788;2025-10-24;One.com SEK 11.25 SEK;;;;11,25;9 235,30
;A 789;2025-10-27;Google Play app SEK 176.40 SEK;;;;176,40;9 058,90
;A 790;2025-10-27;Google Play app SEK 176.40 SEK;;;;176,40;8 882,50
;A 791;2025-10-31;YouTube Premium SEK 10.00 SEK;;;;10,00;8 872,50
;A 792;2025-11-01;TikTok Ads SEK 748.05 SEK;;;;748,05;8 124,45
;A 793;2025-11-01;Temu refund SEK 30.97 SEK;;;30,97;;8 155,42
;A 811;2025-11-28;EUR till SEK 3633.31 EUR kurs 10.9945;;;39 946,43;;48 101,85
;A 812;2025-11-28;Overforing till Marginalen SEK 39934.97 SEK;;;;39 934,97;8 166,88
;A 814;2025-12-04;Future World Tech Kina 31472.19 USD kurs 0.10645;;;;297 000,00;-288 833,12
;A 909;2025-12-04;China invoice payment till Wise;;;297 000,00;;8 166,88
;A 818;2025-12-09;SEK till USD 15546 SEK kurs 0.10707;;;;15 546,00;-7 379,12
;A 912;2025-12-09;Wise transfer 55250500;;;15 546,00;;8 166,88
;;;"""Utgående saldo:""";;0,00;640 510,56;632 343,68;8 166,88
;;;;;;;;
1947 Worldline;;;;;;;;
;;;"""Ingående saldo perioden:""";;;;;0,00
;A 588;2025-02-13;B02131637331 - Worldline kortbetalning;;;;29,85;-29,85
;A 583;2025-02-14;B02141664681 - Worldline kortbetalning;;;;17,90;-47,75
;A 580;2025-02-17;B02151692210 - Worldline kortbetalning;;;;895,50;-943,25
;A 579;2025-02-24;B02241912572 - Worldline kortbetalning;;;;1 492,50;-2 435,75
;A 575;2025-03-10;B03102263589 - Worldline kortbetalning;;;;447,75;-2 883,50
;A 574;2025-03-11;B03112280424 - Worldline kortbetalning;;;;596,99;-3 480,49
;A 573;2025-03-17;B03152389857 - Worldline kortbetalning;;;;1 242,74;-4 723,23
;A 572;2025-03-18;B03182456390 - Worldline kortbetalning;;;;2 811,85;-7 535,08
;A 571;2025-03-20;B03202508892 - Worldline kortbetalning;;;;4 474,49;-12 009,57
;A 570;2025-03-21;B03212537039 - Worldline kortbetalning;;;;247,75;-12 257,32
;A 567;2025-03-24;B03232597052 - Worldline kortbetalning;;;;1 966,11;-14 223,43
;A 566;2025-03-26;B03262657151 - Worldline kortbetalning;;;;99,49;-14 322,92
;A 562;2025-03-28;B03282715066 - Worldline kortbetalning;;;;5 368,97;-19 691,89
;A 558;2025-03-31;B03312794595 - Worldline kortbetalning;;;;2 194,95;-21 886,84
;A 559;2025-03-31;B03292744665 - Worldline kortbetalning;;;;1 415,87;-23 302,71
;A 561;2025-03-31;B03302773435 - Worldline kortbetalning;;;;6 521,20;-29 823,91
;A 556;2025-04-01;B04012811476 - Worldline kortbetalning;;;;2 410,38;-32 234,29
;A 555;2025-04-02;B04022838225 - Worldline kortbetalning;;;;2 269,57;-34 503,86
;A 554;2025-04-03;B04032867693 - Worldline kortbetalning;;;;9 772,84;-44 276,70
;A 552;2025-04-07;B04052926667 - Worldline kortbetalning;;;;3 713,27;-47 989,97
;A 553;2025-04-07;B04072977639 - Worldline kortbetalning;;;;1 069,62;-49 059,59
;A 550;2025-04-08;B04082995583 - Worldline kortbetalning;;;;3 466,21;-52 525,80
;A 549;2025-04-09;B04093019900 - Worldline kortbetalning;;;;816,47;-53 342,27
;A 548;2025-04-10;B04103048976 - Worldline kortbetalning;;;;4 995,88;-58 338,15
;A 545;2025-04-14;B04133138224 - Worldline kortbetalning;;;;2 306,99;-60 645,14
;A 543;2025-04-15;B04153179106 - Worldline kortbetalning;;;;3 028,76;-63 673,90
;A 540;2025-04-22;B04183262982 - Worldline kortbetalning;;;;4 002,17;-67 676,07
;A 541;2025-04-22;B04193286201 - Worldline kortbetalning;;;;2 605,29;-70 281,36
;A 542;2025-04-22;B04203301238 - Worldline kortbetalning;;;;401,98;-70 683,34
;A 539;2025-04-23;B04233349233 - Worldline kortbetalning;;;;4 695,37;-75 378,71
;A 538;2025-04-24;B04243377627 - Worldline kortbetalning;;;;3 597,89;-78 976,60
;A 537;2025-04-25;B04253406484 - Worldline kortbetalning;;;;3 844,65;-82 821,25
;A 533;2025-04-28;B04263436358 - Worldline kortbetalning;;;;2 565,08;-85 386,33
;A 534;2025-04-28;B04273467432 - Worldline kortbetalning;;;;1 613,87;-87 000,20
;A 530;2025-04-29;B04293507506 - Worldline kortbetalning;;;;5 078,43;-92 078,63
;A 529;2025-04-30;B04303534914 - Worldline kortbetalning;;;;5 729,07;-97 807,70
;A 527;2025-05-02;B05023592847 - Worldline kortbetalning;;;;729,33;-98 537,03
;A 528;2025-05-02;B05013562069 - Worldline kortbetalning;;;;5 770,76;-104 307,79
;A 523;2025-05-05;B05053663933 - Worldline kortbetalning;;;;3 009,60;-107 317,39
;A 521;2025-05-07;B05073707835 - Worldline kortbetalning;;;;1 963,10;-109 280,49
;A 520;2025-05-09;B05093766218 - Worldline kortbetalning;;;;6 013,72;-115 294,21
;A 517;2025-05-12;B05123850534 - Worldline kortbetalning;;;;2 702,41;-117 996,62
;A 518;2025-05-12;B05113826980 - Worldline kortbetalning;;;;3 077,51;-121 074,13
;A 519;2025-05-12;B05103798167 - Worldline kortbetalning;;;;2 723,27;-123 797,40
;A 516;2025-05-13;B05133868910 - Worldline kortbetalning;;;;1 893,46;-125 690,86
;A 515;2025-05-14;B05143893340 - Worldline kortbetalning;;;;1 773,07;-127 463,93
;A 511;2025-05-19;B05194034090 - Worldline kortbetalning;;;;2 443,71;-129 907,64
;A 512;2025-05-19;B05184011681 - Worldline kortbetalning;;;;3 537,99;-133 445,63
;A 513;2025-05-19;B05173983976 - Worldline kortbetalning;;;;9 459,46;-142 905,09
;A 509;2025-05-21;B05214076902 - Worldline kortbetalning;;;;3 238,64;-146 143,73
;A 508;2025-05-23;B05234137836 - Worldline kortbetalning;;;;2 371,07;-148 514,80
;A 504;2025-05-26;B05264219988 - Worldline kortbetalning;;;;2 397,90;-150 912,70
;A 505;2025-05-26;B05254196636 - Worldline kortbetalning;;;;4 299,35;-155 212,05
;A 500;2025-05-30;B05294294981 - Worldline kortbetalning;;;;4 690,26;-159 902,31
;A 498;2025-06-02;B05314341919 - Worldline kortbetalning;;;;4 914,25;-164 816,56
;A 499;2025-06-02;B06014371231 - Worldline kortbetalning;;;;2,49;-164 819,05
;A 492;2025-06-03;B06034410431 - Worldline kortbetalning;;;;2 463,08;-167 282,13
;A 489;2025-06-05;B06054467666 - Worldline kortbetalning;;;;3 145,16;-170 427,29
;A 487;2025-06-09;B06094571959 - Worldline kortbetalning;;;;1 426,23;-171 853,52
;A 488;2025-06-09;B06074525843 - Worldline kortbetalning;;;;4 910,27;-176 763,79
;A 485;2025-06-11;B06114611917 - Worldline kortbetalning;;;;3 121,28;-179 885,07
;A 484;2025-06-13;B06134669729 - Worldline kortbetalning;;;;6 105,27;-185 990,34
;A 483;2025-06-16;B06154731299 - Worldline kortbetalning;;;;2 244,68;-188 235,02
;A 479;2025-06-19;B06194827606 - Worldline kortbetalning;;;;602,96;-188 837,98
;A 478;2025-06-23;B06214886452 - Worldline kortbetalning;;;;2 546,18;-191 384,16
;A 472;2025-06-25;B06254970813 - Worldline kortbetalning;;;;1 625,80;-193 009,96
;A 458;2025-06-26;World Line Sales Card;;;201 182,00;;8 172,04
;A 465;2025-06-30;B06305111839 - Worldline kortbetalning;;;;1 892,47;6 279,57
;A 466;2025-06-30;B06285059190 - Worldline kortbetalning;;;;6 280,39;-0,82
;A 634;2025-07-03;Worldline card sales;;;;865,64;-866,46
;A 644;2025-07-07;Worldline card sales;;;;3 806,83;-4 673,29
;A 645;2025-07-08;Worldline card sales;;;;2 221,81;-6 895,10
;A 646;2025-07-10;Worldline card sales;;;;1 343,23;-8 238,33
;A 648;2025-07-14;Worldline card sales;;;;2 837,70;-11 076,03
;A 649;2025-07-15;Worldline card sales;;;;743,25;-11 819,28
;A 650;2025-07-17;Worldline card sales;;;;3 845,66;-15 664,94
;A 653;2025-07-21;Worldline card sales;;;;198,00;-15 862,94
;A 654;2025-07-21;Worldline card sales;;;;493,50;-16 356,44
;A 658;2025-07-24;Worldline card sales;;;;2 528,26;-18 884,70
;A 659;2025-07-28;Worldline card sales;;;;4 848,61;-23 733,31
;A 660;2025-07-29;Worldline card sales;;;;3 619,76;-27 353,07
;A 662;2025-07-31;Worldline card sales;;;;1 865,60;-29 218,67
;A 666;2025-08-01;Worldline card sales;;;;6,14;-29 224,81
;A 669;2025-08-04;Worldline card sales;;;;6 001,77;-35 226,58
;A 670;2025-08-04;Worldline card sales;;;;2 515,32;-37 741,90
;A 672;2025-08-06;Worldline card sales;;;;3 370,02;-41 111,92
;A 673;2025-08-07;Worldline card sales - POSSIBLE DUPLICATE;;;;3 370,02;-44 481,94
;A 675;2025-08-11;Customer payment via Bankgiro;;;;250,00;-44 731,94
;A 676;2025-08-11;Worldline card sales;;;;2 418,89;-47 150,83
;A 677;2025-08-12;Worldline card sales;;;;1 757,15;-48 907,98
;A 678;2025-08-13;Worldline card sales;;;;1,98;-48 909,96
;A 679;2025-08-14;Worldline card sales;;;;1 879,51;-50 789,47
;A 683;2025-08-18;Worldline card sales;;;;1 359,16;-52 148,63
;A 685;2025-08-26;Worldline card sales;;;;788,03;-52 936,66
;A 690;2025-08-27;Worldline card sales;;;;198,99;-53 135,65
;A 691;2025-08-28;Worldline card sales;;;;6 558,62;-59 694,27
;A 703;2025-09-01;Worldline card sales;;;;4 095,38;-63 789,65
;A 704;2025-09-01;Worldline card sales;;;;1,50;-63 791,15
;A 707;2025-09-02;Worldline card sales;;;;774,10;-64 565,25
;A 714;2025-09-04;Worldline card sales;;;;11 344,02;-75 909,27
;A 720;2025-09-05;Worldline card sales;;;;4 529,31;-80 438,58
;A 722;2025-09-06;Worldline card sales;;;;3 904,36;-84 342,94
;A 725;2025-09-09;Worldline card sales;;;;5 495,34;-89 838,28
;A 727;2025-09-15;Worldline card sales;;;;8 216,41;-98 054,69
;A 728;2025-09-15;Worldline card sales;;;;3 500,37;-101 555,06
;A 729;2025-09-18;Worldline card sales;;;;2 649,66;-104 204,72
;A 731;2025-09-22;Worldline card sales;;;;6 306,25;-110 510,97
;A 732;2025-09-22;Worldline card sales;;;;5 883,39;-116 394,36
;A 735;2025-09-25;Worldline card sales;;;;10 481,25;-126 875,61
;A 739;2025-09-29;Worldline card sales;;;;12 047,34;-138 922,95
;A 741;2025-09-30;Worldline settlement;;;;17 122,87;-156 045,82
;A 751;2025-09-30;Q3 2025 card sales via Worldline;;;155 780,70;;-265,12
;A 753;2025-09-30;Worldline transaction fees Q3 2025;;;;772,36;-1 037,48
;A 842;2025-10-03;Worldline deposit B10037527853;;;;6 744,05;-7 781,53
;A 843;2025-10-06;Worldline deposit B10047556132;;;;3 689,41;-11 470,94
;A 845;2025-10-06;Worldline deposit B10067605445;;;;3 336,21;-14 807,15
;A 846;2025-10-07;Worldline deposit B10077622879;;;;2 555,13;-17 362,28
;A 850;2025-10-09;Worldline deposit B10097674111;;;;0,99;-17 363,27
;A 851;2025-10-10;Worldline deposit B10107702101;;;;1 701,91;-19 065,18
;A 852;2025-10-13;Worldline deposit B10127760785;;;;5 491,37;-24 556,55
;A 854;2025-10-14;Worldline deposit B10147798619;;;;2 972,53;-27 529,08
;A 857;2025-10-17;Worldline deposit B10177881088;;;;6 687,36;-34 216,44
;A 858;2025-10-20;Worldline deposit B10197936186;;;;5 266,50;-39 482,94
;A 859;2025-10-22;Worldline deposit B10228000236;;;;7 578,34;-47 061,28
;A 860;2025-10-24;Worldline deposit B10248056799;;;;4 268,50;-51 329,78
;A 861;2025-10-27;Worldline deposit B10258085288;;;;2 928,26;-54 258,04
;A 862;2025-10-27;Worldline deposit B10278133717;;;;5 268,49;-59 526,53
;A 866;2025-10-28;Worldline deposit B10288150305;;;;4 349,13;-63 875,66
;A 867;2025-10-29;Worldline deposit B10298175527;;;;5 560,94;-69 436,60
;A 868;2025-10-30;Worldline deposit B10308203309;;;;2 750,16;-72 186,76
;A 869;2025-10-31;Worldline deposit B10318231769;;;;4 535,93;-76 722,69
;A 941;2025-10-31;Worldline avgift oktober;;;;400,67;-77 123,36
;A 944;2025-10-31;Kortforsaljning Oktober Worldline;;;75 685,21;;-1 438,15
;A 871;2025-11-03;Worldline deposit B11018260572;;;;6 164,00;-7 602,15
;A 872;2025-11-03;Worldline deposit B11028288982;;;;1 191,00;-8 793,15
;A 873;2025-11-04;Worldline deposit B11048324588;;;;2 243,70;-11 036,85
;A 875;2025-11-07;Worldline deposit B11078404621;;;;4 180,96;-15 217,81
;A 876;2025-11-10;Worldline deposit B11088433471;;;;3 324,26;-18 542,07
;A 877;2025-11-10;Worldline deposit B11108482009;;;;1 188,01;-19 730,08
;A 878;2025-11-11;Worldline deposit B11118498315;;;;2 482,51;-22 212,59
;A 879;2025-11-12;Worldline deposit B11128524941;;;;1 141,26;-23 353,85
;A 880;2025-11-13;Worldline deposit B11138552310;;;;892,51;-24 246,36
;A 881;2025-11-14;Worldline deposit B11148578818;;;;1 941,22;-26 187,58
;A 883;2025-11-17;Worldline deposit B11178656600;;;;1 981,02;-28 168,60
;A 885;2025-11-18;Worldline deposit B11188674426;;;;3 048,64;-31 217,24
;A 886;2025-11-19;Worldline deposit B11198697754;;;;16 205,47;-47 422,71
;A 888;2025-11-20;Worldline deposit B11208725080;;;;8 057,42;-55 480,13
;A 889;2025-11-21;Worldline deposit B11218753235;;;;14 373,20;-69 853,33
;A 890;2025-11-24;Worldline deposit B11228781865;;;;7 070,42;-76 923,75
;A 893;2025-11-24;Worldline deposit B11248831366;;;;29 356,25;-106 280,00
;A 897;2025-11-26;Worldline deposit B11268872500;;;;14 641,45;-120 921,45
;A 900;2025-11-27;Worldline deposit B11278900577;;;;4 219,76;-125 141,21
;A 942;2025-11-30;Worldline avgift november;;;;811,68;-125 952,89
;A 945;2025-11-30;Kortforsaljning November Worldline;;;153 447,31;;27 494,42
;A 904;2025-12-01;Worldline deposit B11298957172;;;;21 737,55;5 756,87
;A 905;2025-12-01;Worldline deposit B12019008327;;;;7,49;5 749,38
;A 906;2025-12-01;Worldline deposit B11308985634;;;;8 006,70;-2 257,32
;A 907;2025-12-02;Worldline deposit B12029026954;;;;4 400,82;-6 658,14
;A 908;2025-12-03;Worldline deposit B12039050289;;;;1 617,86;-8 276,00
;A 910;2025-12-08;Worldline deposit B12069136385;;;;10 857,31;-19 133,31
;A 911;2025-12-08;Worldline deposit B12089184747;;;;4 611,77;-23 745,08
;A 913;2025-12-09;Worldline deposit B12099203466;;;;1 710,39;-25 455,47
;A 914;2025-12-10;Worldline deposit B12109227020;;;;2 889,45;-28 344,92
;A 915;2025-12-11;Worldline deposit B12119255696;;;;2 136,02;-30 480,94
;A 916;2025-12-12;Worldline deposit B12129284073;;;;5 373,35;-35 854,29
;A 926;2025-12-15;Worldline deposit B12159361494;;;;4 866,82;-40 721,11
;A 929;2025-12-17;Worldline deposit B12179405561;;;;4 422,83;-45 143,94
;A 930;2025-12-19;Worldline deposit B12199460221;;;;6 409,08;-51 553,02
;A 932;2025-12-22;Worldline deposit B12219518994;;;;8 512,45;-60 065,47
;A 935;2025-12-29;Worldline deposit B12269613247;;;;6 894,90;-66 960,37
;A 936;2025-12-29;Worldline deposit B12299649730;;;;3 644,67;-70 605,04
;A 937;2025-12-29;Worldline deposit B12249582328;;;;4 899,72;-75 504,76
;A 938;2025-12-30;Worldline deposit B12309664541;;;;137,10;-75 641,86
;A 943;2025-12-31;Worldline avgift december;;;;542,83;-76 184,69
;A 946;2025-12-31;Kortforsaljning December Worldline;;;87 156,66;;10 971,97
;;;"""Utgående saldo:""";;0,00;673 251,88;662 279,91;10 971,97
;;;;;;;;
1948 Sales account;;;;;;;;
;;;"""Ingående saldo perioden:""";;;;;0,00
;A 454;2025-03-28;Crona Kassa Sales Period 1 Oct-Mar 28;;;110 544,00;;110 544,00
;A 455;2025-05-28;Shopify POS Sales Period Mar 29-May 28;;;173 825,17;;284 369,17
;A 457;2025-06-26;Viva Wallet Card Payments;;;;106 241,00;178 128,17
;A 458;2025-06-26;World Line Sales Card;;;;201 182,00;-23 053,83
;A 463;2025-06-26;Kontant frsñljning;;;;24 023,00;-47 076,83
;A 456;2025-06-30;Easy Cashier Sales Period May 29-Jun 30;;;47 077,00;;0,17
;;;"""Utgående saldo:""";;0,00;331 446,17;331 446,00;0,17
;;;;;;;;
2091 Balanserad vinst eller förlust;;;;;;;;
;;;"""Ingående saldo perioden:""";;;;;0,00
